RuleId,Description,Action,Status,Exclusions,RuleGroup,RuleSet
200002,Failed to Parse Request Body.,Anomaly score,Enabled,,General,OWASP_3.2
200003,Multipart Request Body Strict                                Validation.,Anomaly score,Enabled,,General,OWASP_3.2
200004,Possible Multipart Unmatched                                Boundary.,Anomaly score,Enabled,,General,OWASP_3.2
911100,Method is not allowed by                                policy,Anomaly score,Enabled,,REQUEST-911-METHOD-ENFORCEMENT,OWASP_3.2
913100,Found User-Agent associated                                with security scanner,Anomaly score,Enabled,,REQUEST-913-SCANNER-DETECTION,OWASP_3.2
913101,Found User-Agent associated                                with scripting/generic HTTP client,Anomaly score,Enabled,,REQUEST-913-SCANNER-DETECTION,OWASP_3.2
913102,Found User-Agent associated                                with web crawler/bot,Anomaly score,Enabled,,REQUEST-913-SCANNER-DETECTION,OWASP_3.2
913110,Found request header                                associated with security scanner,Anomaly score,Enabled,,REQUEST-913-SCANNER-DETECTION,OWASP_3.2
913120,Found request                                filename/argument associated with security scanner,Anomaly score,Enabled,,REQUEST-913-SCANNER-DETECTION,OWASP_3.2
920100,Invalid HTTP Request Line,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920120,Attempted multipart/form-data                                bypass,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920121,Attempted multipart/form-data                                bypass,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920160,Content-Length HTTP header is                                not numeric.,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920170,GET or HEAD Request with Body                                Content.,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920171,GET or HEAD Request with                                Transfer-Encoding.,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920180,POST request missing                                Content-Length Header.,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920190,Range: Invalid Last Byte                                Value.,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920200,Range: Too many fields (6 or                                more),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920201,Range: Too many fields for pdf                                request (35 or more),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920202,Range: Too many fields for pdf                                request (6 or more),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920210,Multiple/Conflicting                                Connection Header Data Found.,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920220,URL Encoding Abuse Attack                                Attempt,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920230,Multiple URL Encoding Detected,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920240,URL Encoding Abuse Attack                                Attempt,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920250,UTF8 Encoding Abuse Attack                                Attempt,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920260,Unicode Full/Half Width Abuse                                Attack Attempt,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920270,Invalid character in request                                (null character),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920271,Invalid character in request                                (non printable characters),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920272,Invalid character in request                                (outside of printable chars below ascii 127),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920273,Invalid character in request                                (outside of very strict set),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920274,Invalid character in request                                headers (outside of very strict set),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920280,Request Missing a Host Header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920290,Empty Host Header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920300,Request Missing an Accept                                Header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920310,Request Has an Empty Accept                                Header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920311,Request Has an Empty Accept                                Header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920320,Missing User Agent Header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920330,Empty User Agent Header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920340,"Request Containing Content,                                but Missing Content-Type header",Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920341,Request containing content                                requires Content-Type header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920350,Host header is a numeric IP                                address,Anomaly score,Disabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920420,Request content type is not                                allowed by policy,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920430,HTTP protocol version is not                                allowed by policy,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920440,URL file extension is                                restricted by policy,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920450,HTTP header is restricted by                                policy (%{MATCHED_VAR}),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920460,Abnormal Escape Characters,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920470,Illegal Content-Type header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920480,Restrict charset parameter                                within the content-type header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
921110,HTTP Request Smuggling Attack,Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
921120,HTTP Response Splitting Attack,Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
921130,HTTP Response Splitting Attack,Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
921140,HTTP Header Injection Attack                                via headers,Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
921150,HTTP Header Injection Attack                                via payload (CR/LF detected),Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
921151,HTTP Header Injection Attack                                via payload (CR/LF detected),Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
921160,HTTP Header Injection Attack                                via payload (CR/LF and header-name detected),Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
921170,HTTP Parameter Pollution,Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
921180,HTTP Parameter Pollution                                (%{TX.1}),Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
930100,Path Traversal Attack (/../),Anomaly score,Enabled,,REQUEST-930-APPLICATION-ATTACK-LFI,OWASP_3.2
930110,Path Traversal Attack (/../),Anomaly score,Enabled,,REQUEST-930-APPLICATION-ATTACK-LFI,OWASP_3.2
930120,OS File Access Attempt,Anomaly score,Enabled,,REQUEST-930-APPLICATION-ATTACK-LFI,OWASP_3.2
